GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
magneto,com.magneto.project.models,AdnRequest,6,10,0,0,1,3,1,3,1,3
magneto,com.magneto.project.models,StatsResponse,0,24,0,0,0,5,0,7,0,7
magneto,com.magneto.project.models,AdnResponse,10,0,0,0,3,0,3,0,3,0
magneto,com.magneto.project.utils,AdnUtils,0,253,0,30,0,47,0,23,0,8
magneto,com.magneto.project,MagnetoApplication,5,3,0,0,2,1,1,1,1,1
magneto,com.magneto.project.controllers,MagnetoController,0,38,0,2,0,8,0,5,0,4
magneto,com.magneto.project.models.entities,Adn,18,18,0,0,3,3,3,5,3,5
magneto,com.magneto.project.exceptions,AdnInvalidoException,9,0,0,0,4,0,2,0,2,0
magneto,com.magneto.project.services,MagnetoServiceImpl,0,132,0,6,0,33,0,8,0,5
magneto,com.magneto.project.services,StatsServiceImpl,2,67,1,5,0,14,1,6,0,4
